"text","severity"
"Bacterial meningitis, stiff neck and fever and sensitivity to light","HIGH"
"I am bleeding severely from a wound and am feeling confused and disoriented","CRITICAL"
"I have a small patch of goosebumps","LOW"
"I have sudden, severe shortness of breath with a cough that produces pink, frothy sputum","HIGH"
"I feel a bit fatigued in the late afternoon","LOW"
"I am gasping for air and my skin feels tight and swollen","CRITICAL"
"I have sudden paralysis of my face and cannot close my mouth","CRITICAL"
"I am confused and disoriented after a head injury","CRITICAL"
"I have a deep cut that is pulsating with blood flow and won't stop bleeding","CRITICAL"
"I have blood coming out of my nose and ears after a major accident","CRITICAL"
"I have severe generalized pain that is making me cry out","HIGH"
"I have moderate difficulty swallowing my own saliva","HIGH"
"I have a high fever and am shivering so hard I can barely talk","HIGH"
"I have a minor case of mild diarrhea this morning","LOW"
"I have sudden, severe pain in my shoulder that makes my arm unusable","HIGH"
"I am experiencing intense pain and swelling in my calf that is hot to the touch (DVT concern)","HIGH"
"I have severe pain and swelling of my entire leg","HIGH"
"My pregnant wife is having a seizure","CRITICAL"
"I have been vomiting blood (coffee ground material or dark vomit)","HIGH"
"Food poisoning, vomiting all day but still conscious","MEDIUM"
"I have pronounced dizziness and the room feels like it's spinning (vertigo)","MEDIUM"
"I am coughing up large amounts of bright red blood","CRITICAL"
"My child is having a seizure and won't stop","CRITICAL"
"I have a large, deep wound with severe bleeding after an explosion","CRITICAL"
"I am unconscious after falling from a two-story building","CRITICAL"
"I have a mild backache from sleeping wrong","LOW"
"I have sudden and total loss of hearing with severe dizziness and vomiting","CRITICAL"
"Upper right abdominal pain after fatty meal with fever","HIGH"
"I broke my toe, it's very swollen and bent","HIGH"
"I have severe, sharp pain in my lower right side that won't go away","HIGH"
"Open fracture on my forearm","HIGH"
"Symptoms of sexually transmitted infection","MEDIUM"
"I have a minor cough only when I laugh hard","LOW"
"I have chills and heavy sweating overnight","MEDIUM"
"I have strong tenderness and redness over a vein in my leg","MEDIUM"
"I have sudden, severe, stabbing pain in my chest that radiates to my back","HIGH"
"I have severe chest pain and difficulty speaking due to labored breathing","CRITICAL"
"I have profuse bleeding from my nose that has been ongoing for 30 minutes","HIGH"
"Gaping wound on my leg that needs stitches","HIGH"
"I have unexplained bleeding from my gums that is constant","HIGH"
"Impetigo spreading on my child's face","MEDIUM"
"I feel a slight ache in my hip joint","LOW"
"I have a major head injury and am displaying posturing (decorticate/decerebrate)","CRITICAL"
"I have difficulty standing or walking due to severe weakness in my legs","HIGH"
"I have a suspected overdose and am confused and unsteady on my feet","HIGH"
"I have severe abdominal pain that feels like something burst","HIGH"
"My socks left a tight mark that feels a bit sore","LOW"
"I have severe chest pain that is radiating to both arms and jaw","CRITICAL"
"I am unconscious and have clear signs of drug use (pins and needles)","CRITICAL"
"I have a mild toothache that is intermittent","LOW"
"Mild chest tightness on exertion","MEDIUM"
"Chemical burn on my skin from cleaning products","HIGH"
"I have sudden, severe weakness that causes my knees to buckle","HIGH"
"I feel like my heart is racing or fluttering (palpitations) quite often","MEDIUM"
"I have widespread blistering rash that is painful and spreading rapidly","HIGH"
"I have severe, constant ear pain with fluid draining from my ear and confusion","HIGH"
"I have a fever of 37.9 
∘
 C","LOW"
"I have severe abdominal pain and my pulse is barely detectable","CRITICAL"
"I have sudden, severe headache after lifting something very heavy","HIGH"
"Low grade fever under 38, feeling tired","LOW"
"I have complete loss of sensation in both my feet and hands and cannot move them","CRITICAL"
"I have sudden onset of uncontrollable muscle spasms","HIGH"
"I have taken too much recreational drug and am paranoid and seizing","CRITICAL"
"I am experiencing new-onset seizures without loss of consciousness","HIGH"
"I have a deep wound with a lot of crushed tissue (crush injury)","HIGH"
"I have painful, red, hot swelling on my skin that is spreading fast (cellulitis)","HIGH"
"My lower lip is slightly swollen from biting it","LOW"
"Swollen ankles that have been getting worse","MEDIUM"
"Fever of 40 degrees celsius","HIGH"
"I have a headache that wakes me up from sleep","MEDIUM"
"I have sudden inability to move any of my limbs after a diving accident","CRITICAL"
"I have severe, crushing pain in my lower abdomen and cannot stand up straight","HIGH"
"I have a sudden, severe headache and my arm is weak","CRITICAL"
"Cough with yellow and green phlegm for several days","MEDIUM"
"I have difficulty swallowing pills","MEDIUM"
"I have severe pain and swelling in my joint with a visible deformity","CRITICAL"
"Ear infection with significant pain and mild fever","MEDIUM"
"I have taken an overdose and am showing signs of cardiac irregularity","CRITICAL"
"I have difficulty breathing and am making a wheezing noise that won't stop","HIGH"
"I am unconscious and completely unresponsive to any stimulus","CRITICAL"
"I feel weak and tired all day, making simple tasks difficult","MEDIUM"
"I have sudden weakness and feel like I am falling off the bed","CRITICAL"
"I have been coughing up thick, discolored phlegm all morning","MEDIUM"
"I have a bit of fuzziness in my vision that goes away when I blink","LOW"
"I have chest pain that is brought on by exertion and relieved by rest","HIGH"
"I have a major burn that has caused severe swelling and tightness in my arm","CRITICAL"
"I have pronounced dizziness that causes me to stumble","MEDIUM"
"My twisted knee is swollen and I can only partially straighten it","MEDIUM"
"I feel a little irritable and moody","LOW"
"I have sudden onset of very strong joint pain (gout flare-up)","MEDIUM"
"I have severe chest pain and a rapid heart rate that feels like pounding in my throat","CRITICAL"
"I have severe, unrelenting pain in my abdomen after recent surgery","CRITICAL"
"Acute psychosis, violent and disoriented","HIGH"
"I have a slightly scratchy throat","LOW"
"Traumatic amputation of the hand","CRITICAL"
"I have a small area of redness on my cheek","LOW"
"I have severe pain in my joint and it is visibly hot, red, and swollen","HIGH"
"I feel a bit too full after a small meal","LOW"
"Thirsty and slightly dehydrated","LOW"
"I have mild ringing in my left ear only","LOW"
"I have loss of motor function on my entire left side","CRITICAL"
"Fractured ribs after the fall","HIGH"
"Slight blocked ear after flying","LOW"
"I have a major bone fracture with a deformity and no pulse in the foot/hand","CRITICAL"
"I feel slightly anxious before a presentation","LOW"
"Child fever 38.5 for more than 48 hours","MEDIUM"
"I have severe swelling of my throat after eating a known trigger","HIGH"
"I have a puncture wound from a nail and haven't had a tetanus shot in years","MEDIUM"
"I have loss of sensation or paralysis that is moving up my limbs","HIGH"
"I have a headache that wakes me from sleep and is associated with vomiting","HIGH"
"I have thrown up several times in the past 6 hours","MEDIUM"
"I have severe pain in my side and feel like I am internally bleeding","CRITICAL"
"I have a fever and severe generalized weakness that prevents me from walking","HIGH"
"I have uncontrolled shaking and seizing that won't stop","CRITICAL"
"I have severe, rapid-onset breathing difficulty with known asthma","HIGH"
"I feel dizzy and lightheaded constantly throughout the day","MEDIUM"
"I have difficulty swallowing and a sharp, throbbing pain in my neck","HIGH"
"I have blood in my urine with high fever and flank pain","HIGH"
"I have severe chest tightness and feel like I'm suffocating","CRITICAL"
"I have mild tenderness on the sole of my foot","LOW"
"I have sudden, strong pain in my side that could be a kidney stone","MEDIUM"
"I have sudden loss of ability to write or use fine motor skills","HIGH"
"I have swelling in my calf that is red and tender (potential DVT)","MEDIUM"
"I have a persistent, sharp, localized abdominal pain after a recent surgery","HIGH"
"I have a small, clear blister on my finger","LOW"
"My hair feels like it's shedding a little more","LOW"
"Common cold, runny nose and mild sore throat","LOW"
"I have a fever of 40.2 
∘
 C and chills that won't stop","HIGH"
"I have a mild ache in my lower leg","LOW"
"I have severe pain and inability to move my eye","HIGH"
"I have uncontrolled bleeding from a deep cut that won't stop with pressure after 15 minutes","HIGH"
"I have a mild sting from a nettle","LOW"
"I would like to book an appointment","LOW"
"I have sudden, severe pain in my side with vomiting and fainting","HIGH"
"I have uncontrollable bleeding from a deep laceration on my thigh","CRITICAL"
"My fingernail is snagged and slightly torn","LOW"
"I have a small burn mark from a spark","LOW"
"I have sudden, severe pain in my side that feels like a stone moving (kidney stone)","HIGH"
"Anaemia symptoms, very pale and breathless walking upstairs","MEDIUM"
"Jaundice, my skin and eyes are yellow","MEDIUM"
"I have widespread purple or dark spots on my skin that don't fade when pressed","HIGH"
"I have pronounced discomfort in my chest when I take a deep breath","MEDIUM"
"I was electrocuted and now have chest pain","CRITICAL"
"I have difficulty speaking and my tongue feels thick and heavy","HIGH"
"I have mild tenderness in my temples","LOW"
"I have a high fever (40.1 
∘
 C) and feel very confused","HIGH"
"I have a high fever (40.0 
∘
 C) with severe confusion","HIGH"
"I have persistent cough with mild chest discomfort","MEDIUM"
"I have severe abdominal pain that radiates to my chest and shoulder","HIGH"
"I have mild muscle soreness from a workout","LOW"
"I feel a bit sensitive to light","LOW"
"I have pronounced nausea that is constant and interfering with life","MEDIUM"
"I have sudden, total blindness in both eyes","CRITICAL"
"Bell's palsy, one side of my face drooped this morning","MEDIUM"
"Black stool without fresh blood","MEDIUM"
"I have continuous abdominal discomfort that is cramping and annoying","MEDIUM"
"My wrist feels a little weak","LOW"
"I have spreading pain and redness extending from a spider bite","MEDIUM"
"I have strong stomach cramping that makes me need to sit down","MEDIUM"
"Open skull fracture after fall","CRITICAL"
"Eye very red with discharge for 2 days","MEDIUM"
"Severe hypothermia, core temperature below 30","CRITICAL"
"I have pronounced difficulty moving my neck due to stiffness","MEDIUM"
"Anxiety so bad I can't leave the house","MEDIUM"
"I have severe, stabbing pain in my lower back that feels like a shock","HIGH"
"I have a suspected ankle fracture—the joint is grossly swollen and I can't bear weight","HIGH"
"I am bleeding uncontrollably from my ears and nose after a fall","CRITICAL"
"I have severe pain and swelling in my arm after being bitten by a mammal","HIGH"
"I have pain and numbness that is rapidly spreading across my whole body","CRITICAL"
"I have a small red patch under my eye","LOW"
"I have a seizure and am turning blue","CRITICAL"
"Dark tarry stools, melaena","HIGH"
"My nose is mildly irritated inside","LOW"
"I am unresponsive and my skin is extremely hot and dry (heatstroke)","CRITICAL"
"I feel a bit lightheaded after exercise","LOW"
"I have loss of sensation in my entire face and head","CRITICAL"
"I am unresponsive and my jaw is locked shut","CRITICAL"
"I feel a little dizzy after standing up quickly","LOW"
"I am bleeding profusely from a varicose vein that burst","CRITICAL"
"I have a joint that feels hot, red, and is strongly painful","MEDIUM"
"I have severe pain in my arm or leg that is cold and pale (arterial occlusion concern)","HIGH"
"I can't breathe at all, airway is blocked","CRITICAL"
"I have severe difficulty breathing and can only take shallow, rapid breaths","CRITICAL"
"Difficulty breathing at rest","HIGH"
"I have severe difficulty breathing and am only wheezing faintly","CRITICAL"
"I have pronounced burning pain in my feet","MEDIUM"
"I have a fever, confusion, and a blistering rash on my palms and soles","CRITICAL"
"I have sudden, severe abdominal pain and signs of shock","CRITICAL"
"I am currently having a full-body convulsive seizure","CRITICAL"
"There is blood in my vomit and I feel clammy and weak","CRITICAL"
"I have severe pain and swelling of my entire forearm","HIGH"
"I have a high fever and I feel disoriented about the time and day","HIGH"
"Toddler with diarrhoea and vomiting for 2 days, mild dehydration","MEDIUM"
"I have severe swelling of my lips, tongue, and throat that started minutes ago","CRITICAL"
"Sciatica, shooting pain from my lower back down my leg","MEDIUM"
"I have a skin infection with pus and spreading redness","MEDIUM"
"I feel extremely weak and have difficulty getting out of my chair","MEDIUM"
"I have a small callus on my hand","LOW"
"My skin is a little dry and flaky","LOW"
"I have severe, uncontrollable tremors in my hands and legs","HIGH"
"I have sudden loss of balance and keep falling over","HIGH"
"I have severe nausea and headache after a recent concussion","HIGH"
"Carbon monoxide poisoning, entire family collapsed","CRITICAL"
"I have a toothache that is strongly throbbing and keeps me awake","MEDIUM"
"I have sudden loss of coordination in my hands and feet","HIGH"
"I have severe shortness of breath and am unable to cough up mucus","CRITICAL"
"I have a penetrating injury to my throat","CRITICAL"
"Eclampsia seizure during pregnancy","CRITICAL"
"I have a small patch of dry, rough skin","LOW"
"My upper lip is slightly dry and cracked","LOW"
"I have sudden, unexplained abdominal swelling and hardness","HIGH"
"I have a runny nose that started this afternoon","LOW"
"Spinal cord injury, numbness from chest down","HIGH"
"I have pronounced painful, red, and swollen eyes (severe conjunctivitis)","MEDIUM"
"I have a fever of 40.1 
∘
 C with severe, throbbing headache that won't respond to medicine","HIGH"
"I have a wound that won't heal and clearly looks infected","MEDIUM"
"I have numbness in my fingers that is continuous and bothersome","MEDIUM"
"I have been unable to keep any liquids down for 8 hours","MEDIUM"
"I have abdominal pain that is relieved temporarily by passing gas","MEDIUM"
"My bone snapped, I heard it break","HIGH"
"I am gasping for air and my airway sounds wet and congested","CRITICAL"
"I have loss of consciousness after a severe blow to the abdomen","CRITICAL"
"Dislocated elbow playing sport","HIGH"
"I need a prescription refill","LOW"
"I have a major head injury and am seizing on the right side of my body","CRITICAL"
"I have sudden, excruciating back pain and cannot control my bowels","CRITICAL"
"I have difficulty speaking and am drooling profusely","CRITICAL"
"I have a major burn that has caused my skin to slough off","CRITICAL"
"I have a high fever (40.3 
∘
 C) that has persisted for 48 hours","HIGH"
"I have sudden onset of uncontrollable diarrhea that is pure blood","CRITICAL"
"I have a severe headache with visual field cuts and extreme weakness","CRITICAL"
"I am unresponsive and my breathing has stopped for several seconds","CRITICAL"
"I have an open wound on my head that is deep and won't stop bleeding","HIGH"
"Spontaneous pneumothorax, sudden chest pain and collapse","HIGH"
"Unable to walk after landing badly on my ankle","HIGH"
"I have blood in my semen (hematospermia)","MEDIUM"
"High fever above 39 degrees for two days","HIGH"
"I have a headache with mild neck soreness that is increasing","MEDIUM"
"I have severe headache and I see halos around lights","HIGH"
"I am bleeding profusely from a deep, torn wound","CRITICAL"
"I can't feel my legs at all and they are cold to the touch","CRITICAL"
"I have difficulty taking a full breath even when resting","HIGH"
"Recurrent nosebleeds this week","MEDIUM"
"I have sudden change in mental status (becoming paranoid or agitated)","HIGH"
"I have bleeding after trauma to the head (moderate amount)","MEDIUM"
"I have unexplained weight loss along with persistent vomiting","HIGH"
"I have severe, painful blistering over my face and eyes","CRITICAL"
"I am unresponsive and have bloody fluid coming from my mouth","CRITICAL"
"Penetrating chest wound from a knife","CRITICAL"
"My lips or face are turning blue (cyanosis)","CRITICAL"
"I dislocated my shoulder in rugby","HIGH"
"I have pain in my chest that is sharp and worse when I breathe in","HIGH"
"I have severe generalized pain that is not relieved by prescription pain medication","HIGH"
"I have a continuous ache in my side that I can't ignore","MEDIUM"
"I am experiencing severe burning pain in my chest that feels like tearing","HIGH"
"I feel a bit sluggish this morning","LOW"
"Acute pancreatitis, severe upper abdominal pain going to back","HIGH"
"I am unresponsive and have dilated pupils","CRITICAL"
"I feel a little gassy and bloated","LOW"
"I have pronounced constipation for more than 4 days","MEDIUM"
"Ovarian torsion, sudden severe pelvic pain","HIGH"
"I have severe headache with loss of consciousness for a few seconds","HIGH"
"I have severe abdominal pain and am passing out repeatedly","CRITICAL"
"I have pronounced stiffness in my back that prevents me from standing straight","MEDIUM"
"I have sudden onset of slurred speech that comes and goes","HIGH"
"I am gasping for breath and pulling at my clothing","CRITICAL"
"I have sudden, persistent vomiting after a head injury","HIGH"
"I have strong pain that limits the movement of a large joint","MEDIUM"
"I have a mild cramp in my calf muscle","LOW"
"I have blood in my cough that is dark and thick","HIGH"
"I have a minor case of bad breath today","LOW"
"I have severe pain and loss of movement in my neck after a car accident","CRITICAL"
"I have sudden, severe pain in my testicle that is unrelieved by rest","HIGH"
"I have pronounced muscle aches that feel like the flu, but no respiratory symptoms","MEDIUM"
"I have severe difficulty breathing and my chest is expanding unevenly","CRITICAL"
"I have severe shortness of breath after an insect sting","CRITICAL"
"I have pronounced joint stiffness that lasts more than an hour in the morning","MEDIUM"
"I have sudden, severe pain and numbness in my leg which has turned white","CRITICAL"
"I have unexplained severe fatigue and a very high heart rate and low blood pressure","CRITICAL"
"I have sudden, severe headache and am having small seizures in my face","CRITICAL"
"My voice is slightly hoarse","LOW"
"I am experiencing severe shortness of breath at rest and panicking","CRITICAL"
"I am gasping for breath and my skin is mottled and cold","CRITICAL"
"I have difficulty speaking; my words are suddenly slurred and unintelligible","HIGH"
"I have numbness and tingling in my face that lasts a long time","MEDIUM"
"I have sudden vision changes with headache and nausea in one eye","HIGH"
"I am bleeding uncontrollably from a wound that is contaminated with dirt","CRITICAL"
"I have a cough that sounds like barking and is relentless","MEDIUM"
"I feel a little constipated","LOW"
"Ruptured tendon in my ankle","HIGH"
"Deep laceration that won't stop bleeding after 20 minutes","HIGH"
"Mild sore throat, no difficulty swallowing","LOW"
"Severe abdominal pain after eating, cholecystitis","HIGH"
"I have no pulse and am not breathing (Cardiac Arrest)","CRITICAL"
"I have loss of consciousness after a severe anaphylactic reaction","CRITICAL"
"Anaphylactic shock, epipen used but still struggling to breathe","CRITICAL"
"I have severe generalized body aches with fever after working outdoors","HIGH"
"I have sudden weakness in my hand that prevents me from holding a pen","HIGH"
"My kneecap is slightly tender","LOW"
"I have shaking chills without a high fever","MEDIUM"
"I have severe abdominal pain that is radiating to my shoulder blade","HIGH"
"Mild lower back ache at end of day","LOW"
"I have sudden, extreme paleness with profuse sweating and chest pain","CRITICAL"
"Thyroid symptoms, rapid unexplained weight loss","MEDIUM"
"I tore my Achilles tendon while running, heard a snap","HIGH"
"I have a major head injury and am now speaking nonsense words","CRITICAL"
"Memory confusion in my elderly father that's new","MEDIUM"
"I have a headache that is worse in the morning and better later in the day","HIGH"
"I have a suspected overdose and am barely conscious","CRITICAL"
"I feel a bit chilled but no fever","LOW"
"I have severe pain in my entire leg and cannot move my toes","CRITICAL"
"I have a major burn that is deep and covers my entire leg","CRITICAL"
"I have severe generalized swelling and have gained 10 pounds in 3 days","HIGH"
"I have severe swelling and redness in my throat and mouth that is closing","CRITICAL"
"I have loss of consciousness for more than five minutes","CRITICAL"
"I have loss of feeling and movement in my lower body after a sudden snap","CRITICAL"
"I have a few mosquito bites on my arm","LOW"
"I have difficulty swallowing and a deep throbbing pain in my chest","HIGH"
"I have a stuffy nose and sneezed a lot","LOW"
"I have a deep wound that has been contaminated by animal feces or pond water","HIGH"
"Sudden arm weakness and numbness","HIGH"
"My heel is a little cracked","LOW"
"I have severe back pain that prevents me from changing positions in bed","HIGH"
"I have a high fever and a headache that is worse in bright light","CRITICAL"
"I have a deep cough that makes me gasp for a breath","MEDIUM"
"I feel a bit peckish and weak","LOW"
"Corneal scratch from a branch","MEDIUM"
"I have sudden loss of balance and am constantly bumping into walls","HIGH"
"I want to see a doctor for a routine visit","LOW"
"I have a sudden, painful swelling of the tongue or throat that is closing my airway","CRITICAL"
"My stomach is making funny noises","LOW"
"I have a fever with strong sore muscles","MEDIUM"
"I am unresponsive and my breathing is shallow and slow","CRITICAL"
"I have profuse, heavy, uncontrolled vomiting that is projectile","HIGH"
"I am experiencing sudden, short periods of difficulty focusing my vision","MEDIUM"
"I have a deep puncture wound to my neck","CRITICAL"
"I have difficulty breathing and my oxygen saturation is low (e.g., 90% on pulse oximeter)","HIGH"
"I have pronounced pain when I press on my sinuses","MEDIUM"
"Sudden severe chest pressure with shortness of breath and sweating","CRITICAL"
"I have swelling that is spreading rapidly across my entire face and neck","HIGH"
"I have a fever and am a little disoriented","MEDIUM"
"I have excessive thirst and urination (polydipsia/polyuria)","MEDIUM"
"Abdominal pain not severe but persistent for two days","MEDIUM"
"I have a fever and feel mentally foggy, needing help with simple tasks","MEDIUM"
"I am unresponsive and my body is cold to the touch","CRITICAL"
"Productive cough with thick mucus for a week","MEDIUM"
"I have difficulty moving my neck and a fever after trauma","HIGH"
"Feeling tired today","LOW"
"I am actively suicidal with a plan","CRITICAL"
"I have a large, infected blister that has caused fever and spreading redness","HIGH"
"I have severe pain and massive swelling in my calf that is turning black","CRITICAL"
"I have severe swelling in my throat and cannot swallow my saliva","CRITICAL"
"I have severe shortness of breath and a rapid, irregular heartbeat","CRITICAL"
"I have severe chest pain and feel dizzy and sick to my stomach","CRITICAL"
"I have chest pain that is worsened by eating and radiates to my shoulder","HIGH"
"I have severe, constant chest pain and a feeling of impending doom","CRITICAL"
"I have a mild fever of 37.4 
∘
 C","LOW"
"Calf pain and swelling, worried about DVT","MEDIUM"
"I have sudden difficulty recognizing common objects or people","HIGH"
"Not breathing, respiratory arrest","CRITICAL"
"I have severe, rapid-onset diarrhea with bloody discharge","HIGH"
"I have severe chest pain that is shooting down my arm to my fingers","CRITICAL"
"I feel a bit too cold despite the temperature","LOW"
"Acid burn on my arm at work","HIGH"
"I have a persistent rapid heart rate (>130 bpm) at rest with dizziness","HIGH"
"Toxic shock syndrome after surgery","CRITICAL"
"I have severe, intractable vomiting that has caused me to feel dizzy and weak","HIGH"
"I have severe pain and redness in my breast with discharge and fever","HIGH"
"I have a headache with noticeable visual disturbances that come and go","MEDIUM"
"I have sudden, severe pain and numbness in my fingers and they are pale white","CRITICAL"
"I have a mild stomach cramp that passed quickly","LOW"
"Hay fever, itchy eyes and runny nose","LOW"
"I have a seizure but am awake and aware (focal aware seizure)","HIGH"
"I have frequent nosebleeds that are hard to stop","MEDIUM"
"Penetrating eye injury","HIGH"
"I have a suspected spinal injury and cannot move without severe pain","HIGH"
"My hands and feet feel numb and tingly sometimes, lasting for several minutes","MEDIUM"
"I have a large, expanding rash with fever and blisters on my mouth","HIGH"
"I am experiencing paralysis on one side of my body (full hemiparesis)","CRITICAL"
"I have severe lower back pain and loss of feeling in my inner thighs","HIGH"
"I have difficulty breathing and my pulse is very faint and fast","HIGH"
"Aortic dissection, sudden tearing chest pain radiating to back","CRITICAL"
"I have unexplained sudden onset of heavy sweating with pain","HIGH"
"Thunderclap headache, worst headache of my life, started suddenly","CRITICAL"
"I have severe chest pain and a feeling that my heart is stopping","CRITICAL"
"I have severe pain in my arm and it is cold and pulseless","CRITICAL"
"I have a rash that is painful and blistered (possible shingles)","MEDIUM"
"I have severe pain and redness in my arm after a recent injection","HIGH"
"I have a high fever and am having difficulty distinguishing reality from hallucinations","CRITICAL"
"I have a stabbing, sharp pain in my chest that hurts with movement","MEDIUM"
"Retinal detachment, seeing flashes and a shadow in vision","HIGH"
"I have a severe headache and am having focal seizures in my arm","CRITICAL"
"I have severe facial swelling and cannot open my eyes","CRITICAL"
"I have severe abdominal pain and am vomiting blood clots","CRITICAL"
"I have difficulty speaking and my entire right side is numb","CRITICAL"
"Feeling warm but no thermometer reading","LOW"
"I have a small scratch on my arm from a bush","LOW"
"I am gushing bright red blood from a laceration on my thigh","CRITICAL"
"I have sudden, complete inability to stand without assistance","HIGH"
"I have sudden, total blindness and feel immense pressure in my head","CRITICAL"
"I have sharp, intermittent pain that I can't pinpoint","MEDIUM"
"I am bleeding profusely from my rectum","CRITICAL"
"I am unresponsive and have no reaction to light or loud noises","CRITICAL"
"I have pronounced back pain that limits my ability to bend over","MEDIUM"
"I have slightly swollen gums","LOW"
"I have severe dizziness or vertigo where I can't sit up without falling","HIGH"
"I have unexplained, severe joint pain with a high fever","HIGH"
"I have a severe headache and my vision is filled with flickering lights","HIGH"
"Vomiting blood, haematemesis","HIGH"
"I have sudden, excruciating back pain with numbness in my groin","HIGH"
"I have severe chest pain that feels like a weight on my lungs","CRITICAL"
"Mild dry cough, no fever","LOW"
"I am bleeding heavily and feel like I am going to pass out","CRITICAL"
"I have difficulty breathing after being stung by multiple wasps","HIGH"
"I have a very minor cut on my cheek","LOW"
"I have severe, widespread itching with swelling that is starting to affect my breathing","HIGH"
"I have severe allergic reaction with wheezing and imminent throat closing","CRITICAL"
"I have a sudden, severe headache and am now throwing up violently","CRITICAL"
"I have total loss of vision and am panicking","CRITICAL"
"Mild pneumonia, stable but need treatment","MEDIUM"
"I have a sore bump on my forehead","LOW"
"I have difficulty swallowing that is getting worse by the minute","HIGH"
"I have a high fever with confusion and a severe sunburn-like rash","CRITICAL"
"My heart stopped, I can't feel a pulse","CRITICAL"
"I have a persistent, bubbling sensation in my chest","MEDIUM"
"I have unexplained pronounced fatigue lasting more than a week","MEDIUM"
"I have chest tightness and a faint wheeze when breathing","MEDIUM"
"Sudden loss of vision in my left eye","HIGH"
"I have difficulty swallowing and my voice has completely changed","HIGH"
"I have sudden onset of uncontrollable tremors and severe confusion","CRITICAL"
"I have a fall from a significant height and have severe pain","HIGH"
"I have chills and profuse sweating alternating throughout the day","MEDIUM"
"I have a rash that is visibly spreading and feels warm to the touch","MEDIUM"
"I have a large laceration that is gapping open and requires stitches","HIGH"
"I have a headache with fever and petechial rash (meningitis symptoms)","HIGH"
"I have sudden inability to use my dominant hand or arm","HIGH"
"I have sudden loss of ability to feel heat or cold in my feet","HIGH"
"I have a fever and confusion after drinking water from a stagnant source","HIGH"
"Conjunctivitis not improving after 48 hours","MEDIUM"
"I have chest pain that is worse when I lay on my left side","HIGH"
"I have total loss of vision and am panicking intensely","CRITICAL"
"I have a cut that is clearly gaping open and requires stitches","MEDIUM"
"I have a fever and severe headache that is worse when I move my eyes","HIGH"
"I have shooting pain down my leg (sciatica)","MEDIUM"
"Minor eye irritation from dust","LOW"
"I am unresponsive after a traumatic brain injury","CRITICAL"
"Organophosphate poisoning after working with pesticides","CRITICAL"
"I have a large laceration that won't stop bleeding after 20 minutes of pressure","HIGH"
"I have a minor spot of irritation under my bra strap","LOW"
"Back pain limiting my movement","MEDIUM"
"I have a high fever and a severe headache with vomiting that won't stop","CRITICAL"
"I have sudden, complete numbness in one of my feet","HIGH"
"Small pimple or spot","LOW"
"I have severe pain in my lower back with sudden paralysis of my legs","CRITICAL"
"Internal bleeding after abdominal trauma","CRITICAL"
"I have severe, constant abdominal pain that is not relieved by position changes","HIGH"
"I am unresponsive and have clear fluid draining from my nose","CRITICAL"
"I have a deep burn that is red, wet, and covers a quarter of my back","HIGH"
"I have sudden, severe pain in my abdomen that feels like a rupture","CRITICAL"
"I have severe back pain that is radiating to my hip and thigh","HIGH"
"I have chest pain that is relieved by leaning forward (pericarditis concern)","HIGH"
"I have severe, constant pain in my pelvis after a high-impact injury","CRITICAL"
"I have sudden inability to move my jaw or open my mouth wide","HIGH"
"I have a worsening, pronounced earache and a high fever","MEDIUM"
"I have a deep cut that bled heavily for 10 minutes and now feels numb","HIGH"
"I have a high fever with a headache and a rash that looks like bruising","HIGH"
"I have sudden, severe weakness and my speech is severely garbled","CRITICAL"
"I have severe chest pain that is not relieved by nitroglycerin (if prescribed)","CRITICAL"
"I have a high fever and confusion after recent travel to a rural area","CRITICAL"
"I have sudden weakness and confusion and cannot move my left arm or leg","CRITICAL"
"My knee clicks a little when I walk","LOW"
"I have a head injury and vomited more than once","HIGH"
"Torn rotator cuff, shoulder is in severe pain","HIGH"
"I have a severe allergic reaction and my blood pressure is dangerously low","CRITICAL"
"Tendinitis in my shoulder, very painful for a week","MEDIUM"
"I am unresponsive and have a large wound to my head","CRITICAL"
"Slight nausea this morning, no vomiting","LOW"
"I woke up and can't move my right side at all","CRITICAL"
"I have an electrical burn that has caused deep tissue damage","HIGH"
"I have severe pain and discoloration in my hand or foot that is spreading","HIGH"
"I have sudden onset of severe fatigue and a very high heart rate","HIGH"
"I have severe pain and numbness in my arm and wrist after a crush injury","CRITICAL"
"I have no pulse in my wrist or neck and am not breathing","CRITICAL"
"I have a small, isolated patch of dry skin on my leg","LOW"
"Bloating and gas after eating","LOW"
"Head injury from a fall, lost consciousness briefly","HIGH"
"I have severe vomiting and am passing black, tarry stools (melena)","HIGH"
"I have a small patch of irritated skin from a clothing tag","LOW"
"I have sudden, extreme weakness and am unable to move my arms above my head","CRITICAL"
"I have a penetrating injury (e.g., knife, bullet) to my chest","CRITICAL"
"I have a suspected fracture where the limb is twisted and bleeding","CRITICAL"
"I have severe, painful rash that covers over 50% of my body","HIGH"
"I have sudden, complete inability to speak or make any sound","CRITICAL"
"I have a small cut from shaving","LOW"
"Scratchy throat in the morning","LOW"
"I have severe chest discomfort that is triggered by emotional stress","HIGH"
"My head feels slightly heavy","LOW"
"I have signs of cellulitis—hot, red, and tender skin that is spreading","MEDIUM"
"I have extreme difficulty waking up and am very drowsy and confused","HIGH"
"I have a high fever (40.4 
∘
 C) that is not responding to medication","HIGH"
"Hip dislocation after a car accident","HIGH"
"I have severe pain and numbness in my foot that is cold and pale","HIGH"
